speed,direction
12.30,134.07
12.30,119.31
12.30,121.74
12.30,100.14
12.30,306.23
12.30,107.43
12.30,93.47
12.30,60.62
12.30,91.34
12.30,126.53
12.29,117.63
12.29,12.85
12.29,298.55
12.29,111.23
12.29,345.21
12.28,132.46
12.28,51.17
12.28,98.83
12.28,115.19
12.27,130.84
12.26,60.56
12.26,38.70
12.26,30.06
12.26,165.11
12.25,93.43
12.24,120.56
12.24,119.16
12.23,76.20
12.23,122.10
12.22,112.94
12.21,127.29
12.20,112.79
12.20,121.34
12.20,122.34
12.20,121.62
12.20,122.01
12.20,112.32
12.20,121.21
12.20,121.15
12.20,129.96
12.20,118.85
12.20,117.82
12.20,122.96
12.20,309.54
12.20,101.51
12.20,115.82
12.20,314.57
12.20,290.92
12.20,110.71
12.20,100.40
12.20,293.78
12.20,107.07
12.20,115.65
12.20,78.31
12.20,122.87
12.20,81.41
12.20,95.74
12.20,94.77
12.20,117.98
12.20,96.71
12.20,98.43
12.20,127.35
12.20,121.30
12.20,95.88
12.20,117.67
12.20,52.25
12.20,136.38
12.20,126.42
12.20,358.37
12.20,134.54
12.18,116.07
12.17,125.75
12.17,118.68
12.16,117.38
12.16,119.81
12.14,113.96
12.13,115.73
12.12,118.77
12.12,114.71
12.12,316.81
12.11,299.60
12.10,118.84
12.10,110.34
12.10,114.13
12.10,287.61
12.10,119.60
12.10,86.33
12.10,98.14
12.10,122.44
12.10,276.00
12.10,130.23
12.10,119.74
12.10,84.01
12.10,120.97
12.10,119.27
12.10,244.90
12.10,110.30
12.10,98.35
12.10,318.69
12.10,100.86
12.10,85.70
12.10,117.20
12.10,135.69
12.10,112.19
12.10,106.01
12.10,109.90
12.10,125.24
12.10,77.63
12.10,116.48
12.10,111.75
12.10,85.73
12.10,76.55
